Hidden Dims,Entropy,Schedule,Num Epochs,rew_position,rew_orientation,rew_action_smooth,Run Name
"[128, 128, 128]",0.01,adaptive,1,-857.1608302606453,-303.5128937191538,-554.3955653179282,Dims128_Ent0.01_Schadaptive_Ep1
"[128, 128, 128]",0.01,adaptive,4,-795.0449193846823,-245.35558793426736,-476.69651566831203,Dims128_Ent0.01_Schadaptive_Ep4
"[128, 128, 128]",0.01,fixed,1,-934.6914280084611,-273.51091325988773,-473.7109503575802,Dims128_Ent0.01_Schfixed_Ep1
"[128, 128, 128]",0.01,fixed,4,-807.7199301846191,-277.9045880261034,-455.0477680366819,Dims128_Ent0.01_Schfixed_Ep4
"[128, 128, 128]",0.002,adaptive,1,-980.5820677079307,-328.712411512526,-416.0142501029402,Dims128_Ent0.002_Schadaptive_Ep1
"[128, 128, 128]",0.002,adaptive,4,-892.8843139766693,-262.13870256176,-501.2394277907372,Dims128_Ent0.002_Schadaptive_Ep4
"[128, 128, 128]",0.002,fixed,1,-972.8117343486786,-314.7593536866188,-389.1441145134926,Dims128_Ent0.002_Schfixed_Ep1
"[128, 128, 128]",0.002,fixed,4,-1102.626027128601,-256.3861274929046,-398.55967727508556,Dims128_Ent0.002_Schfixed_Ep4
"[128, 128, 128]",0.0002,adaptive,1,-1060.182075805664,-279.35075920515067,-532.437342690897,Dims128_Ent0.0002_Schadaptive_Ep1
"[128, 128, 128]",0.0002,adaptive,4,-1224.8520973677682,-296.3780114874509,-650.0640867557147,Dims128_Ent0.0002_Schadaptive_Ep4
"[128, 128, 128]",0.0002,fixed,1,-959.7651635430591,-345.91353696757034,-536.0484680320722,Dims128_Ent0.0002_Schfixed_Ep1
"[128, 128, 128]",0.0002,fixed,4,-1846.4875961968455,-269.7217059970138,-464.5192223516785,Dims128_Ent0.0002_Schfixed_Ep4
"[64, 64, 64]",0.01,adaptive,1,-885.3569621148441,-300.52102134647936,-517.42014974122,Dims64_Ent0.01_Schadaptive_Ep1
"[64, 64, 64]",0.01,adaptive,4,-812.7185355119422,-264.04465343886073,-473.6709335127207,Dims64_Ent0.01_Schadaptive_Ep4
"[64, 64, 64]",0.01,fixed,1,-951.4659570859909,-279.6593367969512,-500.5752818871021,Dims64_Ent0.01_Schfixed_Ep1
"[64, 64, 64]",0.01,fixed,4,-872.2713202875138,-257.55874617714886,-442.16058460173605,Dims64_Ent0.01_Schfixed_Ep4
"[64, 64, 64]",0.002,adaptive,1,-962.8987683599304,-323.72556487937965,-415.72678823438014,Dims64_Ent0.002_Schadaptive_Ep1
"[64, 64, 64]",0.002,adaptive,4,-1296.9351163335366,-258.0258374454008,-368.2758380718043,Dims64_Ent0.002_Schadaptive_Ep4
"[64, 64, 64]",0.002,fixed,1,-1230.0530984083175,-355.80201743555057,-375.32299385781283,Dims64_Ent0.002_Schfixed_Ep1
"[64, 64, 64]",0.002,fixed,4,-1126.5579459107273,-281.2336683609462,-353.2675440488004,Dims64_Ent0.002_Schfixed_Ep4
"[64, 64, 64]",0.0002,adaptive,1,-962.4696485239917,-333.6499202231605,-496.6879073561771,Dims64_Ent0.0002_Schadaptive_Ep1
"[64, 64, 64]",0.0002,adaptive,4,-1169.2975319309232,-288.9936260698319,-431.0560645110131,Dims64_Ent0.0002_Schadaptive_Ep4
"[64, 64, 64]",0.0002,fixed,1,-1180.4763843578762,-515.2324233793008,-438.568369006388,Dims64_Ent0.0002_Schfixed_Ep1
"[64, 64, 64]",0.0002,fixed,4,-1322.243366819954,-296.166687855196,-361.2421434794903,Dims64_Ent0.0002_Schfixed_Ep4
